zip,primary_city,acceptable_cities,state,county
11766,Mount Sinai,,NY,Suffolk County
11767,Nesconset,,NY,Suffolk County
11768,Northport,Fort Salonga,NY,Suffolk County
11769,Oakdale,,NY,Suffolk County
11770,Ocean Beach,,NY,Suffolk County
11771,Oyster Bay,,NY,Nassau County
11772,Patchogue,"Blue Point, Davis Park, E Patchogue, East Patchogue",NY,Suffolk County
11773,Melville,,NY,Nassau County
11774,Farmingdale,Fulfillment,NY,Nassau County
11775,Melville,,NY,Suffolk County
11776,Port Jefferson Station,Port Jeff Sta,NY,Suffolk County
11777,Port Jefferson,"Port Jeff Sta, Port Jefferson Station, Prt Jefferson",NY,Suffolk County
11778,Rocky Point,,NY,Suffolk County
11779,Ronkonkoma,"Lake Ronkonkoma, Lk Ronkonkoma",NY,Suffolk County
11780,Saint James,,NY,Suffolk County
11782,Sayville,"Cherry Grove, Fire Is Pines, Fire Island Pines",NY,Suffolk County
11783,Seaford,,NY,Nassau County
11784,Selden,,NY,Suffolk County
11786,Shoreham,,NY,Suffolk County
11787,Smithtown,,NY,Suffolk County
11788,Hauppauge,Smithtown,NY,Suffolk County
11789,Sound Beach,,NY,Suffolk County
11790,Stony Brook,,NY,Suffolk County
11791,Syosset,,NY,Nassau County
11792,Wading River,,NY,Suffolk County
11793,Wantagh,,NY,Nassau County
11794,Stony Brook,,NY,Suffolk County
11795,West Islip,,NY,Suffolk County
11796,West Sayville,,NY,Suffolk County
11797,Woodbury,,NY,Nassau County
11798,Wyandanch,"Wheatley Heights, Wheatley Hts",NY,Suffolk County
11801,Hicksville,,NY,Nassau County
11802,Hicksville,,NY,Nassau County
11803,Plainview,,NY,Nassau County
11804,Old Bethpage,,NY,Nassau County
11815,Hicksville,,NY,Nassau County
11819,Hicksville,,NY,Nassau County
11853,Jericho,,NY,Nassau County
11854,Hicksville,,NY,Nassau County
11855,Hicksville,,NY,Nassau County
11901,Riverhead,Flanders,NY,Suffolk County
11930,Amagansett,,NY,Suffolk County
11931,Aquebogue,,NY,Suffolk County
11932,Bridgehampton,,NY,Suffolk County
